event_time_s,label
2.900000,up
7.260000,up
12.120000,up
17.340000,up
22.020000,up
26.300000,up
31.180000,up
35.480000,up
40.020000,up
44.040000,up
48.320000,up
52.900000,up
57.080000,up
61.160000,up
65.440000,up
69.720000,up
73.520000,up
77.680000,up
81.620000,up
85.820000,up
89.640000,up
95.340000,up
101.220000,up
106.060000,up
110.640000,up
115.560000,up
120.180000,up
124.620000,up
129.820000,up
134.840000,up
139.400000,up
145.220000,up
149.480000,up
153.780000,up
158.500000,up
162.480000,up
166.740000,up
170.300000,up
174.180000,up
178.900000,up
182.980000,up
187.120000,up
190.920000,up
194.780000,up
198.400000,up
201.860000,up
205.880000,up
210.500000,up
214.940000,up
218.500000,up
222.600000,up
226.720000,up
230.760000,up
234.660000,up
