event_time_s,label
2.900000,pinch
4.620000,pinch
6.720000,pinch
8.920000,pinch
11.320000,pinch
13.640000,pinch
15.960000,pinch
17.880000,pinch
20.080000,pinch
22.500000,pinch
24.840000,pinch
27.100000,pinch
28.920000,pinch
31.140000,pinch
33.500000,pinch
35.780000,pinch
38.180000,pinch
40.660000,pinch
42.900000,pinch
45.240000,pinch
47.300000,pinch
49.600000,pinch
51.700000,pinch
53.820000,pinch
56.260000,pinch
58.600000,pinch
60.680000,pinch
63.080000,pinch
65.320000,pinch
67.820000,pinch
70.180000,pinch
