event_time_s,label
2.660000,pinch
4.280000,pinch
6.500000,pinch
8.380000,pinch
10.340000,pinch
12.500000,pinch
14.800000,pinch
16.920000,pinch
19.280000,pinch
21.440000,pinch
23.440000,pinch
25.420000,pinch
27.700000,pinch
29.820000,pinch
31.760000,pinch
34.040000,pinch
36.300000,pinch
38.420000,pinch
40.560000,pinch
42.800000,pinch
45.400000,pinch
47.580000,pinch
49.800000,pinch
52.120000,pinch
54.480000,pinch
56.620000,pinch
59.140000,pinch
61.280000,pinch
63.240000,pinch
65.300000,pinch
67.380000,pinch
69.260000,pinch
71.560000,pinch
73.740000,pinch
76.160000,pinch
