event_time_s,label
6.500000,pinch
8.340000,pinch
9.840000,pinch
11.560000,pinch
13.340000,pinch
14.940000,pinch
16.560000,pinch
18.300000,pinch
20.000000,pinch
21.820000,pinch
23.460000,pinch
25.140000,pinch
26.840000,pinch
28.460000,pinch
30.060000,pinch
31.640000,pinch
33.360000,pinch
34.960000,pinch
36.740000,pinch
38.340000,pinch
40.060000,pinch
41.820000,pinch
43.620000,pinch
45.360000,pinch
47.460000,pinch
49.460000,pinch
51.540000,pinch
53.620000,pinch
55.300000,pinch
56.840000,pinch
