event_time_s,label
5.300000,clench
6.980000,clench
8.780000,clench
10.420000,clench
12.520000,clench
14.540000,clench
16.880000,clench
19.200000,clench
21.580000,clench
23.640000,clench
25.660000,clench
27.840000,clench
29.880000,clench
32.320000,clench
34.760000,clench
37.200000,clench
39.360000,clench
41.540000,clench
43.820000,clench
46.260000,clench
49.000000,clench
51.260000,clench
53.640000,clench
56.040000,clench
58.180000,clench
60.560000,clench
63.360000,clench
66.000000,clench
68.460000,clench
70.820000,clench
