event_time_s,label
5.840000,clench
8.040000,clench
10.320000,clench
12.900000,clench
15.220000,clench
17.940000,clench
20.820000,clench
23.680000,clench
27.100000,clench
29.760000,clench
32.460000,clench
35.420000,clench
38.560000,clench
41.120000,clench
44.080000,clench
47.020000,clench
49.620000,clench
52.640000,clench
55.220000,clench
58.000000,clench
60.960000,clench
63.540000,clench
66.160000,clench
68.380000,clench
70.700000,clench
73.340000,clench
75.640000,clench
78.080000,clench
80.400000,clench
82.960000,clench
85.700000,clench
88.240000,clench
