event_time_s,label
2.240000,clench
3.820000,clench
5.580000,clench
7.380000,clench
9.060000,clench
10.680000,clench
12.360000,clench
14.080000,clench
15.700000,clench
17.500000,clench
19.220000,clench
21.100000,clench
22.920000,clench
24.960000,clench
27.000000,clench
29.180000,clench
31.300000,clench
33.200000,clench
35.260000,clench
37.180000,clench
38.940000,clench
40.680000,clench
42.380000,clench
44.260000,clench
46.500000,clench
48.540000,clench
50.920000,clench
52.800000,clench
54.780000,clench
56.640000,clench
58.440000,clench
