event_time_s,label
2.900000,clench
4.180000,clench
6.000000,clench
7.680000,clench
9.360000,clench
11.040000,clench
13.060000,clench
14.560000,clench
16.100000,clench
17.660000,clench
19.240000,clench
20.820000,clench
22.360000,clench
23.900000,clench
25.560000,clench
27.300000,clench
28.740000,clench
30.200000,clench
31.840000,clench
33.500000,clench
35.640000,clench
37.560000,clench
39.220000,clench
40.960000,clench
42.760000,clench
44.380000,clench
46.160000,clench
47.840000,clench
49.620000,clench
51.360000,clench
53.080000,clench
