event_time_s,label
3.400000,clench
5.700000,clench
8.000000,clench
10.300000,clench
12.680000,clench
15.060000,clench
17.280000,clench
19.700000,clench
22.060000,clench
24.260000,clench
26.560000,clench
28.960000,clench
31.400000,clench
33.600000,clench
36.080000,clench
38.440000,clench
40.640000,clench
42.620000,clench
44.560000,clench
46.740000,clench
49.020000,clench
51.100000,clench
53.160000,clench
55.420000,clench
58.040000,clench
60.560000,clench
62.960000,clench
65.480000,clench
67.780000,clench
70.180000,clench
