event_time_s,label
1.680000,clench
3.620000,clench
5.760000,clench
8.060000,clench
10.140000,clench
12.360000,clench
14.660000,clench
16.780000,clench
19.000000,clench
21.300000,clench
23.940000,clench
26.120000,clench
29.100000,clench
31.880000,clench
34.480000,clench
37.140000,clench
39.700000,clench
42.380000,clench
44.960000,clench
47.340000,clench
49.780000,clench
52.760000,clench
55.700000,clench
57.880000,clench
60.580000,clench
62.980000,clench
65.220000,clench
67.640000,clench
69.980000,clench
