event_time_s,label
1.700000,clench
3.460000,clench
5.280000,clench
7.420000,clench
9.280000,clench
11.240000,clench
12.900000,clench
14.700000,clench
16.380000,clench
18.100000,clench
20.140000,clench
22.120000,clench
24.240000,clench
26.300000,clench
28.520000,clench
30.500000,clench
32.340000,clench
34.260000,clench
36.380000,clench
38.480000,clench
40.480000,clench
42.300000,clench
44.140000,clench
46.020000,clench
47.980000,clench
49.880000,clench
51.600000,clench
53.340000,clench
55.340000,clench
57.560000,clench
