event_time_s,label
3.300000,clench
4.960000,clench
7.060000,clench
8.980000,clench
10.900000,clench
13.060000,clench
15.260000,clench
17.600000,clench
19.480000,clench
21.800000,clench
24.060000,clench
26.380000,clench
28.900000,clench
31.960000,clench
34.480000,clench
36.940000,clench
39.000000,clench
40.960000,clench
43.460000,clench
46.020000,clench
48.680000,clench
50.980000,clench
53.100000,clench
55.420000,clench
58.460000,clench
61.000000,clench
63.340000,clench
66.080000,clench
68.580000,clench
71.020000,clench
73.400000,clench
