event_time_s,label
2.680000,pinch
3.920000,pinch
5.220000,pinch
6.440000,pinch
7.800000,pinch
9.020000,pinch
10.380000,pinch
11.860000,pinch
13.140000,pinch
14.620000,pinch
16.040000,pinch
17.680000,pinch
19.320000,pinch
21.080000,pinch
22.980000,pinch
24.960000,pinch
26.940000,pinch
29.120000,pinch
31.060000,pinch
33.120000,pinch
35.260000,pinch
37.440000,pinch
39.800000,pinch
41.700000,pinch
43.620000,pinch
45.540000,pinch
47.320000,pinch
49.360000,pinch
51.140000,pinch
53.100000,pinch
