event_time_s,label
2.580000,pinch
4.440000,pinch
6.220000,pinch
8.000000,pinch
10.020000,pinch
12.020000,pinch
13.900000,pinch
15.640000,pinch
17.580000,pinch
19.860000,pinch
22.100000,pinch
24.220000,pinch
26.380000,pinch
28.320000,pinch
30.440000,pinch
32.320000,pinch
34.400000,pinch
36.600000,pinch
38.540000,pinch
40.840000,pinch
43.280000,pinch
45.360000,pinch
47.300000,pinch
49.440000,pinch
51.660000,pinch
53.880000,pinch
56.100000,pinch
58.040000,pinch
60.060000,pinch
62.300000,pinch
