event_time_s,label
1.260000,pinch
3.100000,pinch
5.560000,pinch
7.280000,pinch
9.680000,pinch
12.280000,pinch
14.420000,pinch
16.160000,pinch
18.420000,pinch
20.680000,pinch
23.320000,pinch
25.500000,pinch
27.840000,pinch
30.500000,pinch
32.720000,pinch
34.680000,pinch
36.760000,pinch
38.960000,pinch
40.980000,pinch
42.820000,pinch
44.920000,pinch
47.080000,pinch
49.020000,pinch
51.380000,pinch
53.600000,pinch
56.000000,pinch
58.560000,pinch
60.800000,pinch
63.220000,pinch
65.180000,pinch
