event_time_s,label
4.200000,down
7.640000,down
11.080000,down
14.320000,down
17.720000,down
21.240000,down
24.640000,down
28.200000,down
31.540000,down
35.160000,down
38.700000,down
42.080000,down
45.480000,down
48.880000,down
52.560000,down
56.080000,down
59.580000,down
62.960000,down
66.420000,down
70.100000,down
73.700000,down
77.240000,down
81.000000,down
84.180000,down
87.380000,down
90.780000,down
94.040000,down
97.480000,down
100.860000,down
104.300000,down
