event_time_s,label
4.380000,down
8.480000,down
12.440000,down
16.600000,down
21.040000,down
25.220000,down
29.440000,down
33.640000,down
37.960000,down
42.060000,down
46.240000,down
50.420000,down
54.780000,down
59.300000,down
64.020000,down
68.460000,down
72.460000,down
77.400000,down
82.220000,down
86.900000,down
91.400000,down
95.540000,down
100.020000,down
104.700000,down
109.460000,down
114.240000,down
119.300000,down
123.980000,down
128.440000,down
133.440000,down
