event_time_s,label
4.100000,down
8.140000,down
12.520000,down
15.580000,down
18.980000,down
21.920000,down
24.700000,down
27.700000,down
31.380000,down
34.440000,down
37.460000,down
40.940000,down
44.280000,down
47.360000,down
51.060000,down
54.600000,down
58.080000,down
61.540000,down
65.120000,down
68.520000,down
72.020000,down
75.540000,down
79.180000,down
82.480000,down
86.200000,down
89.940000,down
94.540000,down
98.700000,down
102.920000,down
106.140000,down
