event_time_s,label
9.440000,down
14.060000,down
18.400000,down
22.200000,down
25.740000,down
29.460000,down
33.400000,down
36.940000,down
41.000000,down
44.600000,down
48.140000,down
51.300000,down
54.520000,down
58.260000,down
61.800000,down
65.320000,down
68.960000,down
72.360000,down
75.340000,down
78.420000,down
81.920000,down
85.460000,down
88.580000,down
92.040000,down
95.180000,down
99.060000,down
102.480000,down
106.060000,down
109.480000,down
113.380000,down
117.120000,down
