event_time_s,label
3.700000,down
7.920000,down
12.180000,down
16.580000,down
20.660000,down
24.840000,down
28.880000,down
33.060000,down
37.120000,down
41.680000,down
45.440000,down
49.860000,down
53.780000,down
58.260000,down
62.320000,down
66.560000,down
70.740000,down
75.200000,down
79.140000,down
83.040000,down
86.700000,down
90.560000,down
94.500000,down
98.960000,down
103.240000,down
107.380000,down
111.500000,down
115.380000,down
119.540000,down
124.080000,down
