event_time_s,label
4.420000,down
7.860000,down
11.600000,down
15.240000,down
18.960000,down
23.040000,down
26.900000,down
30.600000,down
35.120000,down
39.560000,down
43.860000,down
48.700000,down
53.700000,down
58.100000,down
62.480000,down
66.520000,down
71.060000,down
75.580000,down
80.020000,down
84.220000,down
88.620000,down
92.880000,down
96.860000,down
101.000000,down
105.280000,down
110.200000,down
114.340000,down
118.440000,down
122.100000,down
125.740000,down
